Missing Airport,Lat,Lon
ALM,32.84,-105.990556
BFD,41.803056,-78.64
BLF,37.295833,-81.207778
FHU,31.588333,-110.344444
HII,34.5671234,-114.3611974
HYL,55.4902978,-132.6265002
ILE,31.085833,-97.686389
JGC,36.084338,-115.2167848
LWT,47.049167,-109.466667
MLS,46.428056,-105.886111
MOD,37.625833,-120.954444
PNF,58.683334,-156.83333
TSM,36.458056,-105.6725
XZM,22.308047,113.918481
DRB,-17.37183,123.666525
TIS,-10.586389,142.29
BQH,51.330833,0.0325
TVF,48.065556,-96.185
TCT,62.993611,-156.028056
GCW,35.990278,-113.816389
BHM,33.563889,-86.752222
TLT,61.096944,-160.969444
IFP,35.156111,-114.559444
TWA,40.645833,-73.7775
